Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1961","1961","ha","233","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1961","1961","hg/ha","16567","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1961","1961","tonnes","386","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1962","1962","ha","190","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1962","1962","hg/ha","17368","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1962","1962","tonnes","330","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1963","1963","ha","186","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1963","1963","hg/ha","16935","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1963","1963","tonnes","315","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1964","1964","ha","180","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1964","1964","hg/ha","16944","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1964","1964","tonnes","305","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1965","1965","ha","200","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1965","1965","hg/ha","15250","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1965","1965","tonnes","305","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1966","1966","ha","198","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1966","1966","hg/ha","15253","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1966","1966","tonnes","302","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1967","1967","ha","198","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1967","1967","hg/ha","15404","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1967","1967","tonnes","305","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1968","1968","ha","198","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1968","1968","hg/ha","15404","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1968","1968","tonnes","305","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1969","1969","ha","202","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1969","1969","hg/ha","15099","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1969","1969","tonnes","305","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1970","1970","ha","202","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1970","1970","hg/ha","15099","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1970","1970","tonnes","305","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1971","1971","ha","103","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1971","1971","hg/ha","15049","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1971","1971","tonnes","155","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1972","1972","ha","101","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1972","1972","hg/ha","19802","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1972","1972","tonnes","200","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1973","1973","ha","294","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1973","1973","hg/ha","40136","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1973","1973","tonnes","1180","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1974","1974","ha","308","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1974","1974","hg/ha","39935","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1974","1974","tonnes","1230","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1975","1975","ha","270","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1975","1975","hg/ha","42333","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1975","1975","tonnes","1143","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1976","1976","ha","342","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1976","1976","hg/ha","48830","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1976","1976","tonnes","1670","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1977","1977","ha","559","","Official data",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1977","1977","hg/ha","25009","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1977","1977","tonnes","1398","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1978","1978","ha","430","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1978","1978","hg/ha","32558","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1978","1978","tonnes","1400","F","FAO estimate",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1979","1979","ha","370","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1979","1979","hg/ha","32432","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1979","1979","tonnes","1200","F","FAO estimate",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1980","1980","ha","310","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1980","1980","hg/ha","32258","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1980","1980","tonnes","1000","F","FAO estimate",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1981","1981","ha","280","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1981","1981","hg/ha","32321","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1981","1981","tonnes","905","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1982","1982","ha","250","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1982","1982","hg/ha","32800","Fc","Calculated data",""
